,Unnamed: 0,Unnamed: 0.1,id,fname,lname,race,HL+A,HL+B,HL+I,HL+M,HL+O,HL+W,NL+A,NL+B,NL+I,NL+M,NL+O,NL+W,year,predRace
88,88,88,88,Adeyemi,Adesanya,HL+O,3.6143357e-13,7.043388e-07,5.5244123e-13,0.015271189,0.6438609000000001,0.21656013,0.010650298,0.019196423,1.0715453e-06,3.0863655e-05,0.08956027,0.0048681838,2000,hispanic
89,89,89,89,Tofigh,Azemoon,NL+W,8.055425e-12,1.5700232000000002e-15,7.5545264e-11,0.035221927,0.014934815,0.047369387,0.0145401,0.12047460000000002,1.3058948000000001e-05,7.1861075e-07,0.22843514,0.53901035,2000,white
90,90,90,90,Jacek,Becla,NL+O,7.680826e-08,4.685808e-07,3.7779963e-11,1.9503580000000002e-08,0.023046505,0.0008218463000000001,0.1141425,0.068435,3.2212796e-05,5.995835e-07,0.73569226,0.057828486,2000,white
91,91,91,91,Andrew,Hanushevsky,NL+W,1.1888728999999999e-14,2.3880255e-12,1.3124714e-09,8.153926e-09,0.0029748774,0.046552047,0.03966524,0.08393589,0.00016793629000000002,0.1380289,0.16494614,0.523729,2000,white
92,92,92,92,Adil,Hasan,NL+A,6.775495e-14,4.6721813e-09,1.1755163000000001e-12,2.1784822e-11,0.00014388563,3.928947999999999e-06,0.95753664,0.0005464921700000001,6.4053835e-05,3.8789009999999995e-07,0.039449845,0.0022547133,2000,api
93,93,93,93,Wilko,Kroeger,NL+A,6.899243e-10,3.4959679999999996e-09,1.0951493000000001e-14,3.3093477e-09,0.00044227293,0.0014473937,0.8399871999999999,0.029162647000000003,5.6734795e-08,1.7820852e-05,0.08284907,0.046093497000000004,2000,api
94,94,94,94,Artem,Trunov,NL+A,1.4631773e-11,1.031308e-06,4.374229e-10,3.3769492e-08,0.00960649,0.00035360592000000006,0.8674115,0.0049086254999999995,4.2840496e-09,0.001607831,0.10896147,0.0071493434,2000,api
95,95,95,95,Daniel,Wang,NL+A,1.6973044e-14,1.3645427e-11,1.5195936000000003e-12,3.7415206e-11,0.0010829833,4.520101e-05,0.9529985999999999,0.0027666632,7.487657e-07,4.5771525e-05,0.035165627000000005,0.007894369,2000,api
96,96,96,96,Igor,Gaponenko,NL+O,3.4005198e-11,4.3510716e-12,1.2038696000000001e-11,1.0264796e-06,0.07786609,0.030947896000000003,0.12714697,0.11501389999999999,2.8504563999999996e-08,0.021214,0.5365533,0.09125674,2000,white
97,97,97,97,Simon,Patton,HL+O,6.7748727e-09,0.0011973187,1.7705905e-09,1.7374466999999999e-06,0.46879518,0.010027739,0.004373395,0.29760167,2.4580270000000004e-07,0.10053752,0.056103796,0.06136144,2000,hispanic
98,98,98,98,David,Quarrie,NL+I,2.985935e-11,5.7676710000000005e-06,4.063192e-11,5.015882e-10,0.0031090882,0.0009326602,0.004833585,0.08773735,0.8180814000000001,0.00018603653999999998,0.036350217000000004,0.048763875,2000,white
99,99,99,99,William,Tanenbaum,NL+W,5.916089e-11,1.0934311000000001e-12,5.626057e-12,5.88921e-07,0.044294517,0.26013938,0.008794654,0.0882331,6.925131e-05,0.0017340076,0.15060335,0.44613109999999995,2000,white
100,100,100,100,D.,Chamont,NL+W,1.0689019e-09,1.5794928000000002e-06,2.6456822999999997e-10,3.3521132999999996e-06,0.029114436,0.055067862999999995,0.0011621127,0.25260732,0.00029735916000000004,0.00016219805,0.21751413,0.4440696,2000,white
101,101,101,101,C.,Charlot,NL+O,2.7155687e-13,4.7294824e-11,8.807459000000001e-13,0.0024519580999999998,0.18109046,0.049659807,0.15825899999999998,0.050751372999999995,4.976932e-07,0.0013009981,0.33955726,0.2169286,2000,white
102,102,102,102,C.,Cioffi,NL+O,1.2092364e-16,3.2701305000000002e-12,1.6629626000000002e-15,0.010417363,0.25065437,0.22978875,0.0059431363000000004,0.00473525,5.6883749999999995e-08,1.0749924e-08,0.43795162,0.060509466,2000,white
103,103,103,103,S.,Eckmann,NL+A,2.0088013e-09,5.8202430000000006e-05,7.991355e-11,2.2405737e-09,0.013976613,0.00024068647999999997,0.59569883,0.01623771,2.925678e-05,4.782408e-07,0.36810023,0.0056580584,2000,api
104,104,104,104,M.,Girone,NL+B,2.3853817e-09,0.24262808,2.2139197e-09,2.9199325e-06,0.019754011000000002,0.0061458824,0.0008299189,0.42597988,0.0027380795,0.032692313,0.093149476,0.17607939,2000,black
105,105,105,105,J.,Hrivnac,NL+O,1.3177869e-08,1.3681159500000001e-05,3.9196105e-11,0.0002542682,0.04045358,0.018369842,0.20868315,0.02438468,0.00087700534,7.4132798e-09,0.5649675000000001,0.14199634,2000,white
106,106,106,106,D.,Malon,NL+A,7.078415e-10,4.646082e-09,3.2083515999999995e-11,0.0028160387,0.1243606,0.04872953,0.4269923,0.1595785,2.7067399999999998e-05,0.0020191682999999997,0.07854482,0.156932,2000,api
107,107,107,107,H.,Schmuecker,NL+W,2.0255766000000001e-13,6.8909639999999995e-15,3.1739546e-12,2.7354325e-11,0.015079091000000001,0.07276948,0.0015271951,0.06230248,0.0014502348000000002,0.124752104,0.10272355,0.6193959,2000,white
