,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
76,76,76,Qingguo,Zheng,"Asian,GreaterEastAsian,EastAsian",0.989935,0.0036498928,6.0895418e-05,0.0001778964,9.182245e-05,0.004893521,0.00011472532,0.00015344829,5.529805e-05,8.439266e-05,0.00048934744,0.00027035674,2.3477052e-05,2000
77,77,77,Millist,Vincent,"GreaterEuropean,WestEuropean,French",0.012022946,0.006732898,0.012510419,0.0035952923,0.0027916308,0.34824967,0.04397643,0.01571395,0.42017275,0.059121843,0.008069209,0.05600325,0.011039657,2000
78,78,78,Jixue,Liu,"Asian,GreaterEastAsian,EastAsian",0.99255544,0.00055569416,9.601043e-06,8.766407e-05,9.857699e-07,0.0015406057,2.4233292e-05,0.000121577716,0.003591506,0.00011022909,0.0012411588,0.00014842964,1.301691e-05,2000
79,79,79,Nancy,Bercich,"GreaterEuropean,British",0.005984538,0.00416887,0.010036198,0.0071712346,0.0044777985,0.72068864,0.009487368,0.082299024,0.055482022,0.005099255,0.06384529,0.029329458,0.0019303933,2000
80,80,80,A.,Amorim,"GreaterAfrican,Muslim",0.0066603,0.0025679893,0.18405332,0.06615442,0.31959298,0.121636145,0.010953186,0.10758635,0.065481596,0.018916083,0.0184532,0.010657036,0.06728745,2000
81,81,81,J.,Lima,"GreaterEuropean,WestEuropean,Hispanic",0.06951861,0.113321945,0.02629844,0.0146400435,0.006588899,0.021874152,0.026357783,0.05688261,0.032678097,0.00987608,0.46186793,0.12493624,0.03515924,2000
82,82,82,C.,Oliveira,"GreaterEuropean,WestEuropean,Hispanic",0.0016605819,0.00919121,0.024897793,0.004128919,0.0012864072,0.10744338,0.0004270154,0.01132958,0.018672926,0.0037048014,0.79449975,0.017169455,0.005588178,2000
83,83,83,L.,Pedro,"GreaterEuropean,WestEuropean,Italian",0.013955818,0.021415701,0.06359323,0.0193223,0.01687079,0.109984234,0.007374728,0.03343224,0.056838624,0.022183958,0.24090654,0.29639897,0.09772283,2000
84,84,84,N.,Barros,"Asian,IndianSubContinent",0.0004209944,0.0034017218,0.31490713,0.04773031,0.08696302,0.19213355,0.008402922,0.06502482,0.02499615,0.043301016,0.16647379,0.031501714,0.014742856,2000
85,85,85,Julius,Hrivnac,"GreaterEuropean,WestEuropean,Nordic",0.00080688426,0.00096765696,0.0019700057,0.002041601,0.009080717,0.048103325,0.18405432,0.07470941,0.014403036,0.04857527,0.00772964,0.027130827,0.5804273,2000
